tags,counts
people,1865
virus,1403
thank,1270
treatment,1040
https,906
patients,898
video,766
time,748
vaccine,746
news,738
drug,717
doctor,700
covid,680
coronavirus,674
trump,663
thanks,656
day,638
doctors,597
world,584
zinc,563
%,549
days,538
covid-19,515
information,489
sir,482
cure,482
god,469
symptoms,450
medicine,446
work,434
blood,422
hydroxychloroquine,407
way,402
hospital,398
china,393
everyone,391
life,388
..,385
years,365
plasma,365
government,360
system,349
health,344
dr.,341
cases,321
videos,319
study,313
media,306
dr,300
home,299
money,297
disease,289
something,285
lot,285
corona,284
use,282
test,281
body,281
country,279
drugs,276
covid19,270
months,264
patient,260
bless,260
results,254
death,254
care,254
thing,253
research,247
hai,246
please,245
ivermectin,244
lives,238
family,237
person,231
studies,229
man,227
hcq,227
rate,226
trials,225
president,222
vaccines,220
....,220
infection,218
hope,216
flu,215
anyone,213
effects,211
nothing,209
data,207
countries,202
anything,202
*,201
side,196
everything,196
times,194
help,194
”,193
things,193
one,193
job,190
immunity,186
question,185
hospitals,185
fever,184
deaths,183
fda,182
india,180
science,178
weeks,177
c,177
number,174
today,173
trial,169
mask,169
vitamin,166
someone,166
treatments,165
week,162
year,161
guy,161
heart,160
channel,160
problem,159
water,158
therapy,154
h,151
chloroquine,151
part,149
cells,149
antibodies,148
point,147
others,146
share,144
viruses,143
medication,143
name,142
lol,142
wow,141
hi,139
pharma,138
sense,137
pandemic,137
remdesivir,135
reason,134
case,133
recovery,132
masks,131
“,130
injection,129
fact,129
effect,129
immune,128
america,127
youtube,123
lungs,123
state,122
knowledge,122
population,121
cough,121
risk,120
jesus,120
ki,118
kind,117
situation,116
info,116
truth,115
oil,115
italy,115
food,115
course,114
stay,113
cell,111
cancer,111
bill,111
idea,110
dose,110
end,109
control,108
fauci,107
’,106
need,106
throat,105
pain,105
oxygen,105
look,105
tests,104
spread,104
doc,104
month,103
updates,102
pray,102
group,101
success,100
numbers,100
mortality,99
infections,99
plz,98
hours,98
ho,98
type,96
response,96
love,96
damage,96
companies,96
face,95
explanation,95
update,93
steroids,93
evidence,93
community,93
azithromycin,93
scientists,92
comments,92
malaria,91
comment,91
states,90
seheult,90
school,90
philippines,90
lung,90
let,90
.....,90
solution,89
power,89
report,88
place,88
ko,88
levels,87
protocol,86
market,86
line,86
level,86
paper,85
wait,84
testing,84
right,84
pneumonia,84
issues,83
team,81
hands,81
company,80
americans,80
staff,79
smell,79
mind,79
march,79
dexamethasone,79
contact,79
words,78
thousands,78
stuff,78
source,78
presentation,78
korea,78
healthcare,78
govt,78
advice,78
leronlimab,77
fabunan,77
u,76
stock,76
questions,76
politicians,76
holy,76
earth,76
antibody,76
humanity,75
hand,75
children,75
word,74
se,74
rest,74
lots,74
gates,74
friends,74
combination,74
age,74
hiv,73
air,73
russia,72
emergency,72
doses,72
ventilator,71
problems,71
k,71
inflammation,70
illness,70
icu,70
hello,70
guys,70
experience,70
diseases,70
christ,70
cause,70
works,69
matter,69
ka,69
fear,69
quercetin,68
im,68
house,68
father,68
facts,68
sa,67
hey,67
chance,67
storm,66
scientist,66
result,66
isolation,66
e,66
cost,66
citizens,66
quarantine,65
answer,65
story,64
order,64
light,64
guess,64
form,64
cm,64
business,64
🙏,63
usa,63
nurses,63
medicines,63
lord,63
😂,62
theory,62
term,62
plan,62
persons,62
insurance,62
antibiotics,62
ventilators,61
pls,61
jagan,61
history,61
administration,61
wuhan,60
war,60
voice,60
reports,60
price,60
medcram,60
eyes,60
economy,60
breath,60
service,59
ones,59
humans,59
friend,59
efficacy,59
difference,59
action,59
respiratory,58
period,58
outbreak,58
loss,58
head,58
everybody,58
distancing,58
bhi,58
b,58
workers,57
prevention,57
pressure,57
lies,57
interview,57
hero,57
class,57
bit,57
australia,57
ang,57
amount,57
africa,57
nation,56
medications,56
joke,56
issue,56
france,56
dont,56
convalescent,56
canada,56
breathing,56
article,56
public,55
nobody,55
millions,55
ke,55
husband,55
hell,55
game,55
ards,55
allah,55
taste,54
sars,54
politics,54
mouth,54
luck,54
kya,54
brain,54
support,53
placebo,53
mg,53
experts,53
watch,52
temperature,52
tea,52
talk,52
shame,52
moment,52
bts,52
agenda,52
ye,51
wife,51
tv,51
respect,51
morning,51
meds,51
dosage,51
approval,51
yesterday,50
vit,50
stage,50
room,50
phase,50
night,50
herpes,50
doubt,50
cdc,50
boris,50
👍,49
safety,49
prescription,49
practice,49
opinion,49
needs,49
mam,49
lab,49
ginger,49
effort,49
kids,48
ha,48
future,48
